key,name,population,cases
E07000208,Epsom and Ewell,79928,0
E07000209,Guildford,147889,0
E07000210,Mole Valley,87253,0
E07000211,Reigate and Banstead,147757,0
E07000212,Runnymede,88000,0
E07000213,Spelthorne,99334,0
E07000214,Surrey Heath,88874,0
E07000215,Tandridge,87496,0
E07000216,Waverley,125610,0
E07000217,Woking,101167,0
E10000032,West Sussex,858852,0
E07000223,Adur,63869,0
E07000224,Arun,159827,0
E07000225,Chichester,120750,0
E07000226,Crawley,112448,0
E07000227,Horsham,142217,0
E07000228,Mid Sussex,149716,0
E07000229,Worthing,110025,0
E06000022,Bath and North East Somerset,192106,0
E06000058,"Bournemouth, Christchurch and Poole",395784,0
E06000023,"Bristol, City of",463405,0
E06000052,Cornwall,565968,0
E06000059,Dorset,376484,0
E06000053,Isles of Scilly,2242,0
E06000024,North Somerset,213919,0
E06000026,Plymouth,263100,0
E06000025,South Gloucestershire,282644,0
E06000030,Swindon,221996,0
E06000027,Torbay,135780,0
E06000054,Wiltshire,498064,0
E10000008,Devon,795286,0
E07000040,East Devon,144317,0
E07000041,Exeter,130428,0
E07000042,Mid Devon,81695,0
E07000043,North Devon,96110,0
E07000044,South Hams,86221,0
E07000045,Teignbridge,132844,0
E07000046,Torridge,68143,0
E07000047,West Devon,55528,0
E10000013,Gloucestershire,633558,0
E07000078,Cheltenham,117090,0
E07000079,Cotswold,89022,0
E07000080,Forest of Dean,86543,0
E07000081,Gloucester,129285,0
E07000082,Stroud,119019,0
E07000083,Tewkesbury,92599,0
E10000027,Somerset,559399,0
E07000187,Mendip,114881,0
E07000188,Sedgemoor,122791,0
E07000246,Somerset West and Taunton,153866,0
E07000189,South Somerset,167861,0
